OID_,World Port Index Number,Region Name,Main Port Name,Alternate Port Name,UN/LOCODE,Country Code,World Water Body,IHO S-130 Sea Area,Sailing Direction or Publication,Publication Link,Standard Nautical Chart,IHO S-57 Electronic Navigational Chart,IHO S-101 Electronic Navigational Chart,Digital Nautical Chart,Tidal Range (m),Entrance Width (m),Channel Depth (m),Anchorage Depth (m),Cargo Pier Depth (m),Oil Terminal Depth (m),Liquified Natural Gas Terminal Depth (m),Maximum Vessel Length (m),Maximum Vessel Beam (m),Maximum Vessel Draft (m),Offshore Maximum Vessel Length (m),Offshore Maximum Vessel Beam (m),Offshore Maximum Vessel Draft (m),Harbor Size,Harbor Type,Latitude,Longitude
0,7950,United States E Coast -- 6585,Maurer, , ,United States,North Atlantic Ocean, ,U.S. Coast Pilot 2 - Atlantic Coast: Cape Cod MA to Sandy Hook NJ,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp2/CPB2_WEB.pdf,12331, , ,"a1707640, coa17c, h1707960",1.5,0,11,11,11,0,0,0,0,0,0,0,0,Very Small,River (Natural),40.533333,-74.25
1,52235,Sulawesi -- 51970,Mangkasa Oil Terminal, , ,Indonesia,Teluk Bone; Banda Sea; South Pacific Ocean, ,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub163bk.pdf&type=view, , , ,gen04c,2,0,9.4,20.1,0,9.4,0,0,0,0,0,0,0,Small,Open Roadstead,-2.733333,121.066667
2,47620,Madagascar -- 47350,Iharana, , ,Madagascar,Indian Ocean, ,Sailing Directions Pub. 171 (Enroute) - East Africa and the South Indian Ocean,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub171bk.pdf&type=view,61560, , ,"coa02d, gen02b",8,0,14,14,4.9,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),-13.35,50
3,47360,Madagascar -- 47350,Andoany, , ,Madagascar,Mozambique Channel; Indian Ocean, ,Sailing Directions Pub. 171 (Enroute) - East Africa and the South Indian Ocean,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub171bk.pdf&type=view,61420, , ,"coa02h, gen02b",4,0,20.1,15.5,7.9,4.9,0,0,0,0,0,0,0,Very Small,Open Roadstead,-13.4,48.3
4,47020,Tanzania -- 46965,Chake Chake, , ,Tanzania,Indian Ocean, ,Sailing Directions Pub. 171 (Enroute) - East Africa and the South Indian Ocean,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub171bk.pdf&type=view,61200, , ,"coa02c, gen02a",0,0,14,12.5,0,0,0,0,0,0,0,0,0,Small,Coastal (Natural),-5.25,39.766667
5,47005,Tanzania -- 46965,Mjimwema Terminal, , ,Tanzania,Indian Ocean, ,Sailing Directions Pub. 171 (Enroute) - East Africa and the South Indian Ocean,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub171bk.pdf&type=view,61191, , ,"a0247005, coa02c, gen02a",3,0,23.2,17.1,0,15.5,0,0,0,0,0,0,0,Very Small,Open Roadstead,-6.816667,39.366667
6,57245,Vanuatu -- 57160,Forari Bay, , ,Vanuatu,South Pacific Ocean, ,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub126bk.pdf&type=view,82571, , ,"coa06d, gen06a, h0657245",0,0,0,20.1,7.9,0,0,0,0,0,0,0,0,Very Small,Open Roadstead,-17.683333,168.55
7,56820,Bismarck Archipelago -- 56700,Kokopo, , ,Papua New Guinea,Bismarck Sea; South Pacific Ocean, ,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub126bk.pdf&type=view,82192, , ,"a0556810, coa05g, gen05a",2,0,23.2,17.1,1.8,0,0,0,0,0,0,0,0,Very Small,Open Roadstead,-4.333333,152.266667
8,56710,Bismarck Archipelago -- 56700,Longan Island, , ,Papua New Guinea,South Pacific Ocean, ,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub126bk.pdf&type=view,82050, , ,gen05a,2,0,11,7.9,1.8,0,0,0,0,0,0,0,0,Very Small,Coastal (Natural),-1.216667,144.3
9,56660, ,Malakal Harbor, , ,Palau,North Pacific Ocean, ,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub126bk.pdf&type=view,81155, , ,"a1256660, coa12e, gen12c, h1256660",4,0,12.5,17.1,6.4,6.4,0,0,0,0,0,0,0,Very Small,Open Roadstead,7.333333,134.45
